RESULTADOS DEL ALGORITMO GENÉTICO
============================================================

Generación 080 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 081 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 082 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 083 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 084 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 085 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 086 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 087 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 088 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 089 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 090 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 091 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 092 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 093 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 094 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 095 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 096 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 097 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 098 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 099 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 100 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 101 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 102 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 103 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 104 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 105 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 106 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
